id,us,square,sub_square,preservation,length,width,thickness,thermal_alteration,edge_wear,patina
173.1,A2,81,c,mesial,15.7,13.6,2.8,no,1,gley1 6/N
175.1,A2,65,i,proximal,29.3,15.7,3.7,no,0,no
176.1,A2,78,f,proximal,34.7,22.5,3.5,no,1,no
177.1,A1,41,e,proximal,17.4,16,2.8,no,1,no
180.1,A1,72,b,proximal,34.2,12,3.9,no,0,no
181.1,A1,59,c,proximal,18.8,12.8,2.9,no,0,no
182.1,A2,55,i,mesial,19.9,13.3,2.5,no,0,gley1 6/N
183.1,A1,62,h,proximal,20.8,13.4,2,no,0,no
185.1,A2,71,a,proximal,19.7,12.4,3.2,no,1,gley1 4/N
186.1,D6,116,g,proximal,27.3,18.7,3.9,no,0,no
187.1,A2,110,c,proximal,39.9,28.9,7.9,yes,0,no
189.1,D6,128,g,proximal,34.3,19.6,4.2,no,0,gley1 8/N
191.1,D3d base,77,c,proximal,18.2,19.9,5,no,1,no
192.1,A2,95,f,mesial,32.7,17.2,5.9,no,1,no
193.1,A1,76,i,proximal,16.9,16.5,2.7,no,1,no
194.1,A2,65,a,proximal,35.3,24.3,4.9,no,0,gley1 7/N-10Y
196.1,A2,115,c,proximal,15.5,13.8,3.7,yes,1,no
197.1,A2,120,b,proximal,22.3,15.7,3.7,no,0,gley1 8/10Y
198.1,A1,55,h,proximal,37.4,15,3.5,no,0,gley1 8/N-10Y
199.1,A2,87,e,proximal,28.6,17.5,3.9,no,1,gley1 8/N
203.1,A2,92,e,mesial,21.5,18.5,7.7,yes,1,gley1 8/N
204.1,A1,63,g,proximal,13.7,15.3,3.6,yes,2,no
206.1,D3d base,58,b,proximal,29.5,16.1,3.6,no,0,no
208.1,A2,95,g,proximal,28.4,15.6,2.5,no,0,2.5Y 8/1
209.1,A2,110,e,proximal,32.3,14.1,4,no,1,no
210.1,D3+D6,157,a,proximal,45.3,15.6,5.6,no,0,2.5Y 8/1-2
211.1,D6,125,b,proximal,24.3,14.5,3.9,no,0,2.5YR 8/1
212.1,D6,125,e,proximal,19,12.9,3.4,yes,0,gley1 7/N
214.1,A2,110,a,proximal,23.5,17.8,4,no,1,10YR 8/1
216.1,A2,101,i,proximal,34.6,13.4,3.8,no,0,no
219.1,A2,110,e,proximal,21.8,15.3,4.7,no,1,no
220.1,D6,120,f,proximal,58.7,19,7.7,no,0,10YR 7/2
223.1,A2,55,i,proximal,42.6,28.6,12.3,no,1,no
224.1,A2,40,c,proximal,29.3,12.2,2,no,0,no
225.1,A2,67,e,mesial,12.6,15.7,3.2,no,1,no
226.1,A2,50,d,proximal,25.5,12.3,3.9,no,0,no
227.1,A2,45,g,proximal,34.5,20,3.8,no,2,no
228.1,A2,101,a,mesial,45,21,7.7,no,0,no
229.1,D1c,117,f,mesial,46,21.1,9.2,no,0,no
230.1,A2,100,c,mesial,75.8,16.8,4.1,no,1,no
231.1,A2,101,e,proximal,42.4,17.4,6.4,no,0,no
232.1,D3d base,z50,i,proximal,10.7,13.8,2.5,no,0,no
233.1,A1,62,a,proximal,49.6,26.3,5.8,no,0,no
234.1,A2,80,f,proximal,47,19.3,8,no,0,no
235.1,A2,101,f,proximal,31.1,12.8,2.6,no,0,no
236.1,A2,40,g,proximal,25,13.2,3.1,no,0,no
237.1,A1,81,a,proximal,27.7,13.7,3,no,0,no
239.1,A2,95,h,proximal,31,13.9,3,no,0,no
