blank.id,complete_blank,conjoins_nr,raw_material,blank_type,blank_size,tool
228,No,2,Scaglia Variegata,Semi-cortical blade,M,Yes
229,No,2,Maiolica,Semi-cortical blade,M,No
230,No,2,Maiolica,Blade,M,No
231,Yes,3,Scaglia Variegata,Blade,M,Yes
232,No,2,Eocenic,Blade,S,Yes
233,Yes,2,Maiolica,Semi-cortical blade,L,No
234,No,2,Maiolica,Semi-cortical blade,L,No
235,Yes,3,Scaglia Variegata,Blade,S,Yes
236,Yes,2,Maiolica,Blade,S,Yes
237,Yes,3,Scaglia Variegata,Blade,S,Yes
238,Yes,2,Scaglia Variegata,Blade,S,Yes
239,Yes,2,Scaglia Variegata,Blade,S,Yes
240,Yes,2,Maiolica,Blade,S,Yes
241,Yes,2,Scaglia Variegata,Blade,S,Yes
242,Yes,2,Maiolica,Blade,S,Yes
243,Yes,2,Scaglia Variegata,Blade,S,Yes
244,Yes,2,Scaglia Variegata,Blade,M,No
245,No,2,Maiolica,Blade,M,No
246,No,4,Maiolica,Cortical blade,S,No
247,Yes,2,Other/Undetermined,Blade,M,No
