SU,class,blank,technology,preservation,cortex.y.n,RAW
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Distal,no,Flake dist
A1east,Blank,Flake,Optimal,Distal,no,Flake dist
A1east,Blank,Flake,Optimal,Distal,no,Flake dist
