ID,unit,square,sub.square,raw.material,termal.alteration,class,blank,technology,technology.extended,cortex,cortex.y.n,preservation,preservation.extended,length,width,thickness,elongation,robustness,platform.width,platform.thickness,platformW.T.,platform.type,platform.shape,platform.angle,dorsal.thinning,bulb,bulb.type,bulbar.scar,lip,lip.type,curvature,torsion,cross.section,cross.section.symmetry,scar.count,axiality,scar.pattern,distal.end,distal.end.profile,blank.shape,bladelet.neg.blade,blade.neg.flake,typology,retouch.position,dorsal.retouch.localization,ventral.retouch.localization,retouch.length,volume,surface,mesh
RF.b_4132,A2,55,NA,Maiolica,FALSE,Blank,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,NA,16,4.5,0,3.555555556,5.300000191,2.5,2.120000076,Plain,Rectangular,75,Abrasion,TRUE,Moderate,TRUE,FALSE,NA,Straight,0,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4133,A2,55,NA,Scaglia.Variegata,FALSE,Blank,Blade,Optimal,Optimal,0%,no,Proximal,Proximal,NA,15.19999981,3.700000048,0,4.108108004,3.599999905,1.200000048,2.999999801,Plain,Rectangular,75,Abrasion,TRUE,Moderate,FALSE,TRUE,Pronounced,Straight,0,Trapezoidal,TRUE,2,NA,Unidirectional parallel,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4134,A2,55,NA,Maiolica,FALSE,Blank,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,NA,20.20000076,5.5,0,3.672727411,5.5,2.299999952,2.391304397,Plain,Oval,60,NA,FALSE,NA,FALSE,TRUE,Pronounced,Curved,0,Lateral steep,FALSE,1,NA,Unidirectional parallel,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4135,A2,55,NA,Scaglia.Rossa,FALSE,Blank,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,NA,18.60000038,3.200000048,0,5.812500033,4.199999809,2.400000095,1.749999851,Plain,Rectangular,60,Abrasion,FALSE,NA,FALSE,TRUE,Moderate,Straight,0,Trapezoidal,TRUE,2,NA,Unidirectional parallel,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4136,A2,55,NA,Maiolica,FALSE,Blank,Flake,Maintenance,Tablet,0%,no,Proximal,Proximal,NA,14.60000038,3.099999905,0,4.709677687,3.5,1.899999976,NA,Faceted,Oval,60,No,TRUE,Moderate,TRUE,TRUE,Pronounced,Straight,0,Flat,TRUE,0,NA,Unidirectional parallel,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4137,A2,55,NA,Scaglia.Rossa,TRUE,Blank,Blade,Maintenance,Maintenance,0%,no,Complete,Complete,36.5,15.5,6.199999809,2.35483871,2.500000077,3,1.299999952,2.307692392,Plain,Oval,60,Abrasion,TRUE,Moderate,FALSE,TRUE,Pronounced,Curved,0,Triangular,TRUE,1,Axial,Bidirectional,Straight,Plunging,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4138,A2,55,NA,Maiolica,FALSE,Blank,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,NA,12.30000019,2.299999952,0,5.347826281,3.200000048,1,3.200000048,Plain,Rectangular,60,Abrasion;Hinged scars,TRUE,Moderate,FALSE,TRUE,Pronounced,Straight,0,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4139,A2,55,NA,Scaglia.Variegata,FALSE,Blank,Blade,Optimal,Optimal,0%,no,Proximal,Proximal,NA,21.60000038,2.700000048,0,8,9.100000381,2.599999905,3.500000275,Plain,Oval,75,Abrasion;Hinged scars,FALSE,NA,FALSE,TRUE,Moderate,Straight,0,Trapezoidal,TRUE,2,NA,Unidirectional transverse,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4140,A2,55,NA,Maiolica,FALSE,Blank,Blade,Maintenance,Lateral,1-33%,yes,Complete,Complete,57.90000153,15,3.5,3.860000102,4.285714286,2.799999952,1.399999976,2,Plain,Rectangular,75,Abrasion,FALSE,NA,FALSE,TRUE,Pronounced,Curved,0,Lateral steep,FALSE,1,Axial,Unidirectional parallel,Pointed,Pointed,Irregular,FALSE,FALSE,NA,NA,NA,NA,NA,788.461792,1114.06973,Yes
RF.b_4141,A2,55,NA,Maiolica,FALSE,Blank,Flake,Semi-cortical,Semi-cortical,1-33%,yes,Proximal,Mesio-proximal,NA,29.60000038,5.400000095,0,5.481481455,8.899999619,4.400000095,NA,Plain,Oval,30,Abrasion,TRUE,Moderate,TRUE,TRUE,Pronounced,Curved slightly,0,Flat,TRUE,1,NA,Unidirectional transverse,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
